Qafqazinfo.az; ;adamlarnz, adamlarnz, adamlarnz, adamlarnz, adamlarnz;personal;Rusiya;sojrhgodlkrmghdj;dorujghsiojyp,  ;oejrgbiusthiontk
 ;https://qafqazinfo.az/news/detail/aztv-nin-prezidentin-yubileyine-hesr-etdiyi-film-liderler-danisdi-347018;0;0;1;0;0;0
 ;https://qafqazinfo.az/news/detail/usaq-deyilem-gotur-qoy-edib-raziliq-vermisdim-qurban-qurbanovla-musahibe-347010;0;1;1;0;0;0
 ;https://qafqazinfo.az/news/detail/ictimai-asayisi-pozan-surucu-hebs-edildi-346988;1;0;0;0;0;0

 ; ;1;1;2;0;0;0
Yenisabah.az; ;adamlarnz, adamlarnz, adamlarnz, adamlarnz, adamlarnz;personal;Rusiya;sojrhgodlkrmghdj;dorujghsiojyp,  ;oejrgbiusthiontk
 ;https://yenisabah.az/prezidentler-ilham-eliyevden-danisdilar;0;0;1;0;0;0
 ;https://yenisabah.az/hucum-diplomatiyasinin-tentenesi;0;0;1;0;0;0
 ;https://yenisabah.az/kelbecerli-zulmkar-mehemmedin-zerdabdaki-fermasinda-qullar-askarlandi-fotolar;0;0;1;0;0;0
 ;https://yenisabah.az/rusiya-aciq-sema-muqavilesinden-cxdigini-beyan-edib;0;0;1;0;0;0
 ;https://yenisabah.az/lenkeranda-narkotik-istifadecisi-olan-sexsin-suruculuk-huququ-mehdudlasdirildi;1;0;0;0;0;0
 ;https://yenisabah.az/rusiyali-aktrisa-ukraynaya-buraxilmadi;0;0;1;0;0;0
 ;https://yenisabah.az/lacin-dehlizinde-gomruk-postu-baki-sert-addimlara-hazirlasir;0;0;1;0;0;0
 ;https://yenisabah.az/amerika-zeifleyib-dusmenleri-artiq-ondan-qorxmurlar;0;0;1;0;0;0
 ;https://yenisabah.az/sonsuz-sifirlar-ya-da-sadece-o;1;0;0;0;0;0

 ; ;2;0;7;0;0;0




 ; ;3;1;9;0;0;0
Moderator.az; ;adamlarnz, adamlarnz, adamlarnz, adamlarnz, adamlarnz;personal;Rusiya;sojrhgodlkrmghdj;dorujghsiojyp,  ;oejrgbiusthiontk
 ;https://moderator.az/read/405264/;0;0;1;0;0;0

 ; ;0;0;1;0;0;0
Modern.az; ;adamlarnz, adamlarnz, adamlarnz, adamlarnz, adamlarnz;personal;Rusiya;sojrhgodlkrmghdj;dorujghsiojyp,  ;oejrgbiusthiontk
 ;https://modern.az/olke/321753/ilham-eliyevin-yubileyine-hesr-olunan-film-video/;0;0;1;0;0;0
 ;https://modern.az/dunya/321751/nato-rusiyanin-tekliflerini-muzakire-edecek/;0;0;1;0;0;0
 ;https://modern.az/aktual/321746/rusiya-nato-nu-parcalayir/;0;0;1;0;0;0
 ;https://modern.az/aktual/321745/rusiyada-koronavirus/;0;0;1;0;0;0
 ;https://modern.az/aktual/321734/asiq-elesger-200-idirda-anildi/;1;0;0;0;0;0
 ;https://modern.az/aktual/321726/480-min-insan-texliye-edildi/;1;0;0;0;0;0
 ;https://modern.az/media/321721/media-haqqinda-yeni-qanun-informasiya-savasina-hansi-thfeni-verecek/;1;0;0;0;0;0
 ;https://modern.az/aktual/321719/narkotikin-tesiri-altinda-avtomobil-idare-eden-saxlanildi/;1;0;0;0;0;0
 ;https://modern.az/aktual/321763/ermenistan-bmt-nin-bu-qetnamesine-emel-etmese/;0;0;1;0;0;0
 ;https://modern.az/diaspor/321759/odessada-hemreylik-gunu/;1;0;0;0;0;0

 ; ;5;0;5;0;0;0




 ; ;5;0;6;0;0;0
